,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,District,Area,Shopid,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins,popular,MetroStation
1975,12,0,3,0,0,0,31.38378,121.45621,2,17,57772244,0,0,0,0,0,0,0,0,0,2,0,0,0
1976,9,0,2,0,0,0,31.1413,121.44793,7,17,57776018,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,9,0,2,0,0,0,31.1413,121.44793,7,17,57776050,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,12,0,3,0,0,0,31.22159,121.44153,11,17,57841441,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,14,0,3,0,0,0,31.343,121.44598,2,17,57851140,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,10,0,2,0,0,0,0,0,7,17,57862904,0,0,0,0,0,0,0,0,0,1,0,0,0
1981,12,0,3,0,0,0,31.19966,121.70305,6,17,57887324,0,0,0,0,0,0,0,0,0,1,0,0,0
1982,10,0,2,8.9,0,0,31.0975,121.35043,17,17,57900587,0,0,0,0,0,0,0,0,0,19,0,0,0
1983,12,0,3,0,0,0,31.29004,121.52307,16,17,57917642,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,12,0,3,0,0,0,31.22529,121.4789,10,17,57947278,0,0,0,0,0,0,0,0,0,13,0,0,0
1985,4,0,3,0,0,0,31.15816,121.32476,12,17,57966930,0,0,0,0,0,0,0,0,0,3,0,0,0
1986,3,0,1,0,0,0,0,0,6,17,57970839,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,9,0,3,0,0,0,31.11764,121.27124,17,17,57983384,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,12,0,3,0,0,0,31.27703,121.50667,16,17,57983410,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,12,0,2,7,7,6.9,31.23133,121.4111,4,17,57990646,0,0,0,0,0,0,0,0,0,8,0,0,0
1990,4,0,3,0,7.9,0,31.2964,121.51725,16,7,57993828,0,0,0,0,0,0,0,0,0,65,0,1,0
1991,12,0,3,0,0,0,0,0,16,17,58013128,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,12,0,3,0,0,0,30.73024,121.34838,14,17,58039094,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,12,0,3,0,0,0,30.73024,121.34838,14,17,58039096,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,13,0,3,0,0,0,0,0,3,17,58142712,0,0,0,0,0,0,0,0,0,1,0,0,0
1995,13,0,3,0,0,0,0,0,3,17,58164261,0,0,0,0,0,0,0,0,0,1,0,0,0
1996,2,0,1,0,0,0,31.20708,121.4071,5,17,58175460,0,0,0,0,0,0,0,0,0,2,0,0,0
1997,1,0,3,0,0,0,0,0,1,17,58192365,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,12,0,1,0,0,0,31.20553,121.60214,6,9,58204181,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,12,0,1,0,0,0,31.08612,121.39947,12,17,58208467,0,0,0,0,0,0,0,0,0,3,0,0,0
2000,12,0,3,0,0,0,0,0,3,17,58221718,0,0,0,0,0,0,0,0,0,1,0,0,0
2001,10,0,3,0,0,0,0,0,12,17,58225099,0,0,0,0,0,0,0,0,0,0,0,0,0
