,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,Shopid,District,Area,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins
426,10,0,1,0,0,0,39.86732,116.4596,21005984,4,17,0,0,0,0,0,0,0,0,0,0,0
427,11,0,3,0,0,0,0,0,21007857,15,17,0,0,0,0,0,0,0,0,0,0,0
428,13,0,0,0,0,0,39.90466,116.40819,21010019,2,17,0,0,0,0,0,0,0,0,0,5,0
429,12,1,3,7,7,0,39.90561,116.11009,21051720,12,17,0,0,0,0,0,0,0,0,0,10,0
430,15,0,2,0,0,0,39.90403,116.40752,21054505,2,17,0,0,0,0,0,0,0,0,0,0,0
431,8,0,0,0,0,0,39.85649,116.38807,21057082,5,17,0,0,0,0,0,0,0,0,0,0,0
432,16,0,0,0,0,0,39.92498,116.27853,21095376,1,17,0,0,0,0,0,0,0,0,0,0,0
433,24,0,3,0,0,0,39.8957,116.39457,21096450,3,17,0,0,0,0,0,0,0,0,0,0,0
434,13,0,0,0,0,0,39.91402,116.27933,21097217,1,17,0,0,0,0,0,0,0,0,0,0,0
435,15,0,2,0,0,0,39.95165,116.4089,21097721,2,17,0,0,0,0,0,0,0,0,0,1,0
436,12,1,3,0,0,0,39.80539,116.53622,21097815,7,17,0,0,0,0,0,0,0,0,0,62,0
437,15,0,2,0,0,0,39.90387,116.39768,21101873,2,17,0,0,0,0,0,0,0,0,0,0,0
438,15,0,0,0,0,0,39.94159,116.46696,21102057,4,15,0,0,0,0,0,0,0,0,0,0,0
439,8,0,0,0,0,0,39.87275,116.38098,21102073,5,17,0,0,0,0,0,0,0,0,0,0,0
440,14,0,0,0,0,0,0,0,21135868,1,17,0,0,0,0,0,0,0,0,0,0,0
441,11,0,0,0,0,0,39.9225,116.51723,21194111,4,8,0,0,0,0,0,0,0,0,1,8,1
444,11,1,2,0,0,0,39.97079,116.43618,21226376,4,17,0,0,0,0,0,0,0,0,0,108,82
445,9,0,0,0,0,0,39.96745,116.31171,21234815,1,17,0,0,0,0,0,0,0,0,0,0,0
446,11,0,3,6.9,6.9,6.9,40.21488,116.21095,21252700,10,17,0,0,0,0,0,0,0,0,0,1,0
447,13,0,0,0,7,0,0,0,21255981,1,17,0,0,0,0,0,0,0,0,0,3,0
448,13,0,0,6.9,6.9,6.9,0,0,21262391,1,17,0,0,0,0,0,0,0,0,0,1,0
449,10,0,0,6.9,6.9,6.9,0,0,21290627,4,17,0,0,0,0,0,0,0,0,0,1,0
450,11,0,3,6.9,6.9,6.9,0,0,21316637,10,17,0,0,0,0,0,0,0,0,0,1,0
451,11,0,0,0,0,0,39.84821,116.52871,21330753,4,17,0,0,0,0,0,0,0,0,0,0,0
452,10,0,1,6.9,7,6.9,0,0,21354619,4,7,0,0,0,0,0,0,0,0,0,2,0
453,14,0,0,0,0,0,39.88599,116.52352,21363910,4,17,0,0,0,0,0,0,0,0,0,0,0
454,12,0,3,0,0,0,39.91417,116.46031,21410293,4,7,0,0,0,0,0,0,0,0,0,2,0
455,10,0,0,0,0,0,0,0,21573886,4,17,0,0,0,0,0,0,0,0,0,0,0
456,8,1,1,0,0,0,39.94505,116.44964,21583420,4,4,0,0,0,0,0,0,0,0,0,2,0
457,12,0,1,0,0,0,39.91632,116.46009,21589292,4,7,0,0,0,0,0,0,0,0,0,0,0
458,0,1,3,0,0,0,39.75688,116.16036,21606642,15,17,0,0,0,0,0,0,0,0,3,18,9
459,11,0,0,0,0,0,39.844,116.52709,21638953,4,17,0,0,0,0,0,0,0,0,0,0,0
460,12,0,3,7,7,7,39.92344,116.63977,21643140,9,17,0,0,0,0,0,0,0,0,0,3,0
461,12,0,3,7.9,8,0,39.91138,116.47126,21659342,4,11,0,0,0,0,0,0,0,0,0,16,0
462,12,0,2,0,0,6.9,39.90963,116.41079,21677833,2,17,0,0,0,0,0,0,0,0,0,6,0
463,13,0,1,0,0,0,39.99407,116.40711,21680936,4,17,0,0,0,0,0,0,0,0,0,0,0
464,10,0,1,7,7,7,39.9099,116.4703,21714281,4,11,0,0,0,0,0,0,0,0,0,1,0
465,10,0,1,0,0,0,40.00063,116.47969,21719987,4,10,0,0,0,0,0,0,0,0,0,0,0
466,12,0,3,0,0,0,39.7896,116.32844,21720270,7,17,0,0,0,0,0,0,0,0,0,18,0
467,9,0,0,7,7,6.9,39.82788,116.41771,21722815,7,17,0,0,0,0,0,0,0,0,0,1,0
468,14,1,0,6.9,6.9,6.9,0,0,21750346,5,17,0,0,0,0,0,0,0,0,0,1,0
469,11,1,3,0,0,0,39.92298,116.41727,21754788,2,17,0,0,0,0,0,0,0,0,0,209,0
470,11,0,3,0,0,0,40.1012,116.3809,21755096,10,17,0,0,0,0,0,0,0,0,0,3,0
471,8,0,0,0,0,0,39.83362,116.36864,21841373,5,17,0,0,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,39.98777,116.42102,21849146,4,17,0,0,0,0,0,0,0,0,0,0,0
473,12,0,0,0,0,0,39.89105,116.48816,21853354,4,17,0,0,0,0,0,0,0,0,0,0,0
474,12,0,2,0,0,0,39.93478,116.39659,21856849,2,17,0,0,0,0,0,0,0,0,0,0,0
475,10,0,0,0,0,0,39.97087,116.43493,21857165,4,17,0,0,0,0,0,0,0,0,0,0,0
476,12,0,0,0,0,0,40.0323,116.41386,21858256,4,17,0,0,0,0,0,0,0,0,0,0,0
477,15,0,2,0,0,0,39.93478,116.39659,21858307,2,17,0,0,0,0,0,0,0,0,0,0,0
478,12,0,2,0,0,0,39.89015,116.41889,21858419,2,17,0,0,0,0,0,0,0,0,0,0,0
479,15,0,2,0,0,0,39.85949,116.39835,21859635,2,17,0,0,0,0,0,0,0,0,0,0,0
480,15,0,2,0,0,0,39.85949,116.39835,21859763,2,17,0,0,0,0,0,0,0,0,0,0,0
481,15,0,2,0,0,0,39.85949,116.39835,21859819,2,17,0,0,0,0,0,0,0,0,0,0,0
482,15,0,2,0,0,0,39.85949,116.39835,21860197,2,17,0,0,0,0,0,0,0,0,0,1,0
483,15,0,0,0,0,0,40.0323,116.41386,21860380,4,17,0,0,0,0,0,0,0,0,0,0,0
484,15,0,2,0,0,0,39.85949,116.39835,21862065,2,17,0,0,0,0,0,0,0,0,0,0,0
485,15,0,2,0,0,0,39.85949,116.39835,21862263,2,17,0,0,0,0,0,0,0,0,0,0,0
